System               | Instance             | Version    | Date       | Server    
rtp_pim              | PluginManager_51     | 2.8.53.0   | 2014-01-29 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_52     | 2.8.53.0   | 2014-01-29 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | DR        
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | DR        
rtp_pim              | PluginManager_04     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | DR        
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | DR        
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-29 | PD-PIM01D  | ISEapps    | DR        
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-29 | PD-PIM01D  | ISEapps    | DR        
rtp_pim              | PluginManager_01     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | DR        
rtp_pim              | PluginManager_03     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | DR        
rtp_pim              | PluginManager_04     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | DR        
rtp_pim              | PluginManager_05     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | DR        
rtp_pim              | PluginManager_51     | 2.8.53.0   | 2014-01-29 | PD-PIM01G  | ISEapps    | DR        
rtp_pim              | PluginManager_52     | 2.8.53.0   | 2014-01-29 | PD-PIM01G  | ISEapps    | DR        
precise_userreport   | PreciseTradeUserReport | 7.0.0.0    | 2014-01-29 | PD-PIM01H  | ISEapps    | DR        
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-30 | PD-PIM01H  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-30 | PD-PIM01H  | ISEapps    | DR        
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-30 | PD-PIM01H  | ISEapps    | DR        
