System               | Instance             | Version    | Date       | Server    
rtp_olr              | OpraLineReader_03    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_04    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_05    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_01    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_02    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_03    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_04    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_05    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | BAT       
rdqs                 | RDQS                 | 1.11.0.0   | 2014-01-28 | PD-PIM01B  | ISEapps    | BAT       
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-30 | PD-PIM01B  | ISEapps    | BAT       
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-30 | PD-PIM01B  | ISEapps    | BAT       
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-30 | PD-PIM01B  | ISEapps    | BAT       
rtp_pim              | PluginManager_04     | 2.8.3.1    | 2014-01-30 | PD-PIM01B  | ISEapps    | BAT       
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-30 | PD-PIM01B  | ISEapps    | BAT       
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-30 | PD-PIM01B  | ISEapps    | BAT       
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-30 | PD-PIM01B  | ISEapps    | BAT       
rtp_pim              | PluginManager_01     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | BAT       
