System               | Instance             | Version    | Date       | Server    
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw354  | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi01   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi02   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi03   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi04   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi05   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi06   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi07   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi08   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi09   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi10   | core       | PROD      
core                 | OutboundFeedInterface | 008.000.070 | 2014-01-23 | pc-ofi11   | core       | PROD      
core                 | PerfMon              | 008.000.070 | 2014-01-23 | pc-pmw01   | core       | PROD      
core                 | PerfMon              | 008.000.070 | 2014-01-23 | pc-pmw02   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp01a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp01b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp03a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp03b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp04a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp04b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp05a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp05b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp06a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp06b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp07a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp07b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp08a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp08b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp09a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp09b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp10a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp10b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp51a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp51b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp52a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp52b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp53a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp53b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp54a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp54b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp55a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp55b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp56a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp56b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp57a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp57b   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp58a   | core       | PROD      
core                 | Pope                 | 008.000.070 | 2014-01-23 | pc-pp58b   | core       | PROD      
core                 | SystemControler      | 008.000.070 | 2014-01-23 | pc-sc01    | core       | PROD      
core                 | SystemControler      | 008.000.070 | 2014-01-23 | pc-sc02    | core       | PROD      
core                 | SystemControler      | 008.000.070 | 2014-01-23 | pc-sc03    | core       | PROD      
core                 | SystemControler      | 008.000.070 | 2014-01-23 | pc-sc04    | core       | PROD      
