System               | Instance             | Version    | Date       | Server    
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw253  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw254  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw255  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw256  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw257  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw258  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw259  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw26   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw260  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw27   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw28   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw29   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw30   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw31   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw351  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw352  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw353  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw354  | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi01   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi02   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi03   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi04   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi05   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi06   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi07   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi08   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi09   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi10   | core      
core                 | OutboundFeedInterface | 008.000.060 | 2014-01-03 | pc-ofi11   | core      
core                 | PerfMon              | 008.000.060 | 2014-01-03 | pc-pmw01   | core      
core                 | PerfMon              | 008.000.060 | 2014-01-03 | pc-pmw02   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp01a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp01b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp02a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp02b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp03a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp03b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp04a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp04b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp05a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp05b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp06a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp06b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp07a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp07b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp08a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp08b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp09a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp09b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp10a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp10b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp51a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp51b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp52a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp52b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp53a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp53b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp54a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp54b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp55a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp55b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp56a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp56b   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp57a   | core      
core                 | Pope                 | 008.000.060 | 2014-01-03 | pc-pp57b   | core      
core                 | SystemControler      | 008.000.060 | 2014-01-03 | pc-sc01    | core      
core                 | SystemControler      | 008.000.060 | 2014-01-03 | pc-sc02    | core      
core                 | SystemControler      | 008.000.060 | 2014-01-03 | pc-sc03    | core      
core                 | SystemControler      | 008.000.060 | 2014-01-03 | pc-sc04    | core      
